School,SCHID,LEA,class,dindex,pctwhite,pctblack,schoolsum,pctlatinx
Yorktown High,00115,ARLINGTON CO PBLC SCHS,enr,0.5460755659474972,0.6448453608247423,0.05824742268041237,1940,0.1592783505154639
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,alg11112,0.74,0,0.16666666666666669,10,NA
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,alg10910,0.8804,0.4074074074074074,0.1111111111111111,50,NA
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,alg108,0.5862721893491124,0.7321428571428571,0.017857142857142863,65,NA
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,chem,0.5446291166512773,0.6491228070175439,0.04385964912280702,114,0.09649122807017543
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,bio,0.5332699167657552,0.6482758620689655,0.041379310344827586,145,0.19310344827586207
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,gate,0.4770830309188561,0.7048192771084337,0.02108433734939759,332,NA
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,apany,0.5178850156087409,0.6653225806451613,0.03225806451612903,248,0.17338709677419356
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,alg2,0.5491437383329276,0.6396396396396397,0.02702702702702703,111,0.16216216216216217
HB Woodlawn Secondary Program,02659,ARLINGTON CO PBLC SCHS,enr,0.5403900199147247,0.6456808199121523,0.03513909224011713,683,0.17715959004392387
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,alg11112,0.9444444444444444,0,0.5,6,NA
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,alg10910,NaN,NaN,NaN,0,NA
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,chem,0.40625,0.125,0.125,8,0.75
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,bio,0.5619834710743803,0,0.36363636363636365,11,0.5454545454545454
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,gate,0.5,0.5,0,2,NA
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,alg2,0,0,0,3,1
New Directions Alternative H.S. Program,02860,ARLINGTON CO PBLC SCHS,enr,0.5674931129476584,0.09090909090909091,0.30303030303030304,33,0.5757575757575758
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,alg11112,0.75,0,0,42,NA
Arlington Community High,02875,ARLINGTON CO PBLC SCHS,alg10910,0.84375,0,0.25,8,NA
